ts_utc,h1_bar_utc,h4_bar_close_utc,pair,h1_state,h1_dir,h1_gap_h4,h1_down_run,h4_bias,h4_tipo,h4_stato,h4_score,h4_spread,h4_event
2026-06-17T08:05:36+00:00,2026-06-17T07:00:00+00:00,2026-06-17T05:00:00+00:00,EURCAD,-,,,,LONG,RESUME,ATTIVO,78,1.34,
2026-06-17T08:05:36+00:00,2026-06-17T07:00:00+00:00,2026-06-17T05:00:00+00:00,EURNZD,-,,,,LONG,RESUME,ATTIVO,75,1.12,
2026-06-17T08:05:36+00:00,2026-06-17T07:00:00+00:00,2026-06-17T05:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,100,2.52,1
2026-06-17T09:05:37+00:00,2026-06-17T08:00:00+00:00,2026-06-17T09:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,84,2.17,
2026-06-17T09:05:37+00:00,2026-06-17T08:00:00+00:00,2026-06-17T09:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.7,
2026-06-17T09:05:37+00:00,2026-06-17T08:00:00+00:00,2026-06-17T09:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,100,2.89,1
2026-06-17T10:05:33+00:00,2026-06-17T09:00:00+00:00,2026-06-17T09:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,84,2.17,
2026-06-17T10:05:33+00:00,2026-06-17T09:00:00+00:00,2026-06-17T09:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.7,
2026-06-17T10:05:33+00:00,2026-06-17T09:00:00+00:00,2026-06-17T09:00:00+00:00,GBPCHF,RIPRESA,SHORT,-2.9381,0,-,-,NESSUNO,100,2.94,
2026-06-17T10:05:33+00:00,2026-06-17T09:00:00+00:00,2026-06-17T09:00:00+00:00,NZDCHF,RIPRESA,SHORT,-2.8914,0,SHORT,RESUME,ESTESO,100,2.89,1
2026-06-17T11:05:38+00:00,2026-06-17T10:00:00+00:00,2026-06-17T09:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,84,2.17,
2026-06-17T11:05:38+00:00,2026-06-17T10:00:00+00:00,2026-06-17T09:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.7,
2026-06-17T11:05:38+00:00,2026-06-17T10:00:00+00:00,2026-06-17T09:00:00+00:00,EURCHF,RIENTRO,SHORT,-2.3844,3,-,-,NESSUNO,93,2.38,
2026-06-17T11:05:38+00:00,2026-06-17T10:00:00+00:00,2026-06-17T09:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,100,2.89,1
2026-06-17T12:05:36+00:00,2026-06-17T11:00:00+00:00,2026-06-17T09:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,84,2.17,
2026-06-17T12:05:36+00:00,2026-06-17T11:00:00+00:00,2026-06-17T09:00:00+00:00,CADCHF,-,,,,SHORT,RESUME,ATTIVO,100,2.7,
2026-06-17T12:05:36+00:00,2026-06-17T11:00:00+00:00,2026-06-17T09:00:00+00:00,EURCHF,RIENTRO,SHORT,-2.3844,4,-,-,NESSUNO,93,2.38,
2026-06-17T12:05:36+00:00,2026-06-17T11:00:00+00:00,2026-06-17T09:00:00+00:00,NZDCHF,-,,,,SHORT,RESUME,ESTESO,100,2.89,1
2026-06-17T13:05:31+00:00,2026-06-17T12:00:00+00:00,2026-06-17T13:00:00+00:00,AUDCAD,RIPRESA,LONG,1.2479,0,LONG,RESUME,ATTIVO,100,1.25,
2026-06-17T13:05:31+00:00,2026-06-17T12:00:00+00:00,2026-06-17T13:00:00+00:00,AUDCHF,-,,,,SHORT,RESUME,ESTESO,84,1.36,
2026-06-17T13:05:31+00:00,2026-06-17T12:00:00+00:00,2026-06-17T13:00:00+00:00,AUDNZD,-,,,,LONG,RESUME,ATTIVO,83,1.02,
2026-06-17T13:05:31+00:00,2026-06-17T12:00:00+00:00,2026-06-17T13:00:00+00:00,CADCHF,RIPRESA,SHORT,-2.6076,0,SHORT,RESUME,ATTIVO,100,2.61,
2026-06-17T13:05:31+00:00,2026-06-17T12:00:00+00:00,2026-06-17T13:00:00+00:00,GBPCHF,RIENTRO,SHORT,-2.361,3,-,-,NESSUNO,66,2.36,
2026-06-17T13:05:31+00:00,2026-06-17T12:00:00+00:00,2026-06-17T13:00:00+00:00,NZDCHF,RIENTRO,SHORT,-2.3754,3,SHORT,RESUME,ESTESO,100,2.38,
